Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
AMI & MDM diagram and data flow,AMI-XXX4,AMI,AMI,AMI & MDM diagram and data flow,AMI,Request Received,"help improving slides to communicate systems and data flows, starting with a meter to cash look and adding outage data and other systems.",,,,,,,GPC,AMI,Wesley Granade,GPC,,,,,,,,,,
AMI Asset Utilization Dashboard,AMI-0003,AMI,AMI,AMI Asset Utilization Dashboard,Asset Management,In Development,"Reporting suite of dashboards to show utilization of assets (meters, transformers, feeders that are rolled up to a substation etc) Allows us to identify idle assets, assets overloaded and underulitized.",,,,,,,APC; GPC,"PD Engineering, GSS, DCC",Joyce Solomon,APC,2024-01-10,,,,,https://app.powerbi.com/groups/ca81d8e0-c93e-437d-9cdd-cee8c1ddfb3e/list?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,,
AMI Meter Linking,AMI-0002,AMI,AMI,AMI Customer Grid Linkage (T-M Linking),AMI,Done - Deployed without Maintenance,"Outsystems app for front-end user to provide feedback when correcting linkage in GIS, model database, and PBi for prediction insights",,,,,,,APC; GPC,GSS,Joyce Solomon,APC,,2025-03-31,,,https://outsystems.southernco.com/CGL/,https://ua-outsystems.southernco.com/CGL/,https://outsystems.southernco.com/CGL/,,,
AMI Meter Linking,AMI-0002-1,AMI,AMI,AMI Customer Grid Linkage (T-M Linking),AMI,Done - Deployed without Maintenance,"Outsystems app for front-end user to provide feedback when correcting linkage in GIS, model database, and PBi for prediction insights",,,,,,,APC; GPC,GSS,Joyce Solomon,APC,,2025-03-31,,,https://outsystems.southernco.com/CGL/,https://ua-outsystems.southernco.com/CGL/,https://app.powerbi.com/groups/30b4c00e-20f4-430f-8b8f-0c65c259cca8/reports/a6e31b4b-130e-4539-95ea-4ec44f8bb04e/fb5fe379c618958928f0?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,
AMI Daily Sales Dashboard,AMI-XXX8,AMI,AMI,AMI Daily Sales Dashboard,AMI,Request Received,Visualization of daily sales of kWh per customer class to drop to revenue accounting team,,,,,,,APC,AMI,Myrna Merced,APC,,,,,,,,,,
AMI Lost Meters,AMI-0011,AMI,AMI,AMI Lost Meters,AMI,In Development,Clean up of AMI created dashboard,Developed a frontend tool on top of an AMI Analytics model which predicts the approximate locations of lost meters.,AMI operations teams at APC.,"The tool helps users identify lost meters, prioritize them by their recent usage, and visualize the predicted location of the lost meter and similar meters around it. Provides necessary context for troubleshooting and identification.",ML & Data Science; ETL & Data Visualization; Application Development,,Joyce Solomon,APC,AMI,Joyce Solomon,APC,,,70,1,,,,,,
AMI Phase Correction,AMI-0004,AMI,AMI,AMI Phase Correction,AMI,In Development,PowerBI(for insight display) and OutSystem app development (front end user feedback tool)for AMI Phase Correction project,,,,,,,GPC,GSS,Joyce Solomon,APC,2024-01-09,2025-07-18,,,https://app.powerbi.com/groups/30b4c00e-20f4-430f-8b8f-0c65c259cca8/reports/a6e31b4b-130e-4539-95ea-4ec44f8bb04e/fb5fe379c618958928f0?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,https://outsystems-servicestudio.southernco.com/CGL/,https://app.powerbi.com/groups/30b4c00e-20f4-430f-8b8f-0c65c259cca8/reports/a6e31b4b-130e-4539-95ea-4ec44f8bb04e/fb5fe379c618958928f0?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,
AMI Product Video Development,AMI-XXX1,AMI,AMI,AMI Product Video Development,AMI,Done - Deployed without Maintenance,Specialized suite of video productions of product suite for Joyce's team,,,,,,,APC,AMI,Joyce Solomon,APC,,,,,,,,,,
AMI Reporting - Level 3,AMI-XXXX,AMI,AMI,AMI Reporting - Level 3,AMI,Done - Deployed without Maintenance,Level 3 reporting suite revamp,,,,,,,APC,AMI,Joyce Solomon,APC,,,,,,,,,,
AMI/MDM Supporting documentation and branding materials,AMI-XXX2,AMI,AMI,AMI/MDM Supporting documentation and branding materials,AMI,Done - Deployed without Maintenance,"Suite of instructions on use of AMI tools and dashbaords. Inclusive of AMI Matchmaking, AMI Open House, AMI Industry Show, AMI logo creation, AMI dashboad standardization, and other misc small projects for AMI",,,,,,,APC,AMI,Joyce Solomon,APC,,2000-01-01,,,,,,,,
EV Forecast PBI,AMI-0001,AMI,AMI,EV Forecast PBI,EV,Done - Deployed with Maintenance,Dashboard to view forecasted demand of EVs and the impact on APC.,,,,,,,APC; GPC,"AMI, Marketing, PD Planning",Joyce Solomon,APC,,2025-01-31,,,TBD,https://app.powerbi.com/groups/81fec0eb-8d08-4692-a143-37e8dc217032/reports/ab1fb304-067b-4506-a24a-c9597af60dc9/ReportSection8cb1e5aae550f8578b4f?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&experience=power-bi,,,,
Metered Loads,AMI-XXX5,AMI,AMI,Metered Loads,AMI,Request Received,GET FROM DAN,,,,,,,APC,AMI,Joyce Solomon,APC,,,,,,,,,,
Funding Dashboard,ECD-0002,Economic and Community Development,Corporate & Engineering Services,Funding Dashboard,,In Development,Dashboard to show where state funds have gone historically in AL,,,,,,,APC,Economic Development,Shane Kearney,APC,,,,,,,,,,
JobsEQ Dashboard,ECD-0001,Economic and Community Development,Corporate & Engineering Services,JobsEQ Dashboard,,Done - Deployed with Maintenance,Developing a quick self-serve dashboard for pitch deck construction by ECD project managers,,,,,,,APC,Economic Development,Shane Kearney,APC,,,,,https://app.powerbi.com/groups/e1b7c1bc-9373-4c99-96e6-1a70e510b70d/reports/1de315d2-c9c7-4411-a0de-436c5e3c5471/778313c48533a849ca8b?experience=power-bi,https://app.powerbi.com/groups/e1b7c1bc-9373-4c99-96e6-1a70e510b70d/reports/1de315d2-c9c7-4411-a0de-436c5e3c5471/778313c48533a849ca8b?experience=power-bi,https://app.powerbi.com/groups/e1b7c1bc-9373-4c99-96e6-1a70e510b70d/reports/1de315d2-c9c7-4411-a0de-436c5e3c5471/778313c48533a849ca8b?experience=power-bi,,,
Data Center Dashboard Phase II,DCA-0004,Enterprise Data Customer Analytics,Corporate & Engineering Services,Data Center Dashboard Phase II,Customer Service,Scoping,"MVP was accepted, iterations and productionalization of the Data Center dashboard for a broad audience",,,,,,,SCS,EDCA,Christian Patel,SCS,,2025-07-31,,,https://app.powerbi.com/groups/ce3209e9-44e7-4d07-a225-b62833e63a5c/reports/32548e78-8a24-40e1-acad-d5c04e03dc2b/54fef1a88621c064195a?experience=power-bi,https://app.powerbi.com/groups/ce3209e9-44e7-4d07-a225-b62833e63a5c/reports/32548e78-8a24-40e1-acad-d5c04e03dc2b/54fef1a88621c064195a?experience=power-bi,https://app.powerbi.com/groups/ce3209e9-44e7-4d07-a225-b62833e63a5c/reports/32548e78-8a24-40e1-acad-d5c04e03dc2b/54fef1a88621c064195a?experience=power-bi,,,
Electric Transportation Dashboard Modernization,DCA-0005,Enterprise Data Customer Analytics,Corporate & Engineering Services,Electric Transportation Dashboard Modernization,EV,In Development,Updating Electric transportation dashboard,,,,,,,SCS,EDCA,Nick Whatley,SCS,,,,,,,,,,
Demographic DB Enhancement,DCA-0001,Enterprise Data Customer Analytics,Corporate & Engineering Services,Demographic DB Enhancement,,In Development,GET FROM DAN,,,,,,,SCS,SCS Customer Solutions,Nick Whatley,SCS,,,,,,,,,,
DeLorean - 1 Key Metrics,EPR-0005,EPRI,EPRI,DeLorean - 1 Key Metrics,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 10 Version 1 Reporting Suite,EPR-0014,EPRI,EPRI,DeLorean - 10 Version 1 Reporting Suite,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 11 Training - Marketing Materials,EPR-0015,EPRI,EPRI,DeLorean - 11 Training - Marketing Materials,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 2 Reporting Suite Concepts,EPR-0006,EPRI,EPRI,DeLorean - 2 Reporting Suite Concepts,,Done - Deployed without Maintenance,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 3 Final Data Engineering Plan,EPR-0007,EPRI,EPRI,DeLorean - 3 Final Data Engineering Plan,,Done - Deployed without Maintenance,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 4 Initial Manual Data Extractions,EPR-0008,EPRI,EPRI,DeLorean - 4 Initial Manual Data Extractions,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 5 Initial Reporting Suite Prototype,EPR-0009,EPRI,EPRI,DeLorean - 5 Initial Reporting Suite Prototype,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 7 API Integrations,EPR-0011,EPRI,EPRI,DeLorean - 7 API Integrations,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 8 Non-API Integrations,EPR-0012,EPRI,EPRI,DeLorean - 8 Non-API Integrations,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - 9 SoCo Data Integrations,EPR-0013,EPRI,EPRI,DeLorean - 9 SoCo Data Integrations,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - Other,EPR-0016,EPRI,EPRI,DeLorean - Other,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - Phase I - Milestone 1,EPR-0001,EPRI,EPRI,DeLorean - Phase I - Milestone 1,,Done - Deployed without Maintenance,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - Phase I - Milestone 2,EPR-0002,EPRI,EPRI,DeLorean - Phase I - Milestone 2,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - Phase I - Milestone 3,EPR-0003,EPRI,EPRI,DeLorean - Phase I - Milestone 3,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean - Phase I - Milestone 4,EPR-0004,EPRI,EPRI,DeLorean - Phase I - Milestone 4,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
DeLorean- 6 Set Up Asure,EPR-0010,EPRI,EPRI,DeLorean- 6 Set Up Asure,,In Development,No description available.,,,,,,,EPRI,EPRI,Dexter Lewis,EPRI,,,,,,,,,,
GPC Finance Contract Work,GFI-0001,GPC Finance,Finance,GPC Finance Contract Work,Finance,Paused,No description available.,,,,,,,,GPC Finance,Crystal Jackson,,,,,,,,,,,
Marketing Communications,OTH-0002,Other,Other,Marketing Communications,,Done - Deployed without Maintenance,On demad deck construction for Shane as needed,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
GPC Matchmaking,PDN-0028,"PD APIs, Mktg Collateral, and Other",Corporate & Engineering Services,GPC Matchmaking,Project Management Tools,Done - Deployed without Maintenance,GPC Matchmakimg deck,,,,,,,APC,GPC,,APC,,,,,,,,,,
Kruse Consulting Lookback +,PDN-0026,"PD APIs, Mktg Collateral, and Other",Corporate & Engineering Services,Kruse Consulting Lookback +,Project Management Tools,Done - Deployed without Maintenance,First Kruse Consulting Review,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
Semi-Annual Review,PDN-0027,"PD APIs, Mktg Collateral, and Other",Corporate & Engineering Services,Semi-Annual Review,Project Management Tools,Done - Deployed without Maintenance,Semi-Annual Review per Shane's request,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
CE Vendor Scorecard,GTR-0052,PD Grid Transformation Analytics,Grid Transformation,CE Vendor Scorecard,Resource Management,In Development,"Automated Reporting Suite in PowerBI, pulling from CAMP/JETS to assess and compare vendor performance within the UnderGrounding Capital Investment space",,,,,,,APC,,Chris McClain,APC,,,,,TBD,,,,,
Concrete Poles,GTR-XX23,PD Grid Transformation Analytics,Grid Transformation,Concrete Poles,Investment Prioritization,Request Received,Prioritizing replacement of existing poles along the coast with concrete poles,,,,,,,MPC,,Stacey Miles,MPC,,,,,,https://app.powerbi.com/groups/81fec0eb-8d08-4692-a143-37e8dc217032/reports/b1f97f12-3d18-4dc0-a5ac-4ef5c47a6d5d/ReportSectiona51a002d0021922781e5?experience=power-bi,,,,
Finance Pillar 1-Pagers,GTR-XX11,PD Grid Transformation Analytics,Grid Transformation,Data Analysis of Finance Pillar 1-Pagers,,In Development,Development of finance pillars and strategy,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
Onsite Team and Finance Pillar Dev,GTR-XXX2,PD Grid Transformation Analytics,Grid Transformation,Data Analysis of Onsite Team and Finance Pillar Dev,,Done - Deployed with Maintenance,Analysis of finance pillar development and value of onsite team creation,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
Data Center Reporting Suite,GTR-XX18,PD Grid Transformation Analytics,Grid Transformation,Data Center Reporting Suite,,Done - Deployed with Maintenance,"Dashboard to monitor datacenter development opportunities, pipeline, and progress",,,,,,,SCS,Enterpririse Data Customer Analytics,Christian Patel,SCS,,,,,,,,,,
DATS - Relational DB Dev,GTR-XX13,PD Grid Transformation Analytics,Grid Transformation,DATS - Relational DB Dev,Devices,Done - Deployed with Maintenance,Updating MS Access databases to a consolidated database for devices,,,,,,,APC,PD Technology,Kelsey Stephens,APC,,,,,,,,,,
DATS VBA,GTR-XX19,PD Grid Transformation Analytics,Grid Transformation,DATS VBA,Devices,Done - Deployed without Maintenance,Updating VBA code for DATS databases,,,,,,,APC,PD Technology,Kelsey Stephens,APC,,,,,,,,,,
Enterprise AI Strategy,GTR-XXX8,PD Grid Transformation Analytics,Grid Transformation,Digital Enterprise AI Strategy,AI,Done - Deployed without Maintenance,Strategy deck compiled about deployment of AI for PDDA and where it could be beneficial,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
Strategic Product Roadmap,GTR-XXX7,PD Grid Transformation Analytics,Grid Transformation,Digital Strategic Product Roadmap,,In Development,Analysis and Strategy for products that PDDA could produce and impact APC more broadly,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
Distribution Planning Solution Strategy,GTR-XXX6,PD Grid Transformation Analytics,Grid Transformation,Distribution Planning Solution Strategy Data Analysis,Distribution Planning,Done - Deployed without Maintenance,Analysis of distrubution planning options available and reccomendation for strategy moving forward,,,,,,,APC,PDDA-D,Shane Powell,APC,,,,,,,,,,
Engineering Workforce Analytics,GTR-0046,PD Grid Transformation Analytics,Grid Transformation,Engineering Workforce Analytics,Engineering Workload,Scoping,To be scoped week of 3/17,,,,,,,GPC,,Roderick Taylor,APC,,,,,TBD,,,,,
Enterprise Analytics Org Strategy,GTR-XXX5,PD Grid Transformation Analytics,Grid Transformation,Enterprise Data Analytics Org Strategy,,Done - Deployed without Maintenance,Evaluation of different organization structures for analytics groups and reccomendation for best fit for APC & Souther Company more broadly,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
Fiber Reporting Suite,GTR-XXX4,PD Grid Transformation Analytics,Grid Transformation,Fiber Reporting Suite,Fiber,Done - Deployed with Maintenance,Set of tools and analytics for FTD. This was a first iteration getting miles laid and operational/financial numbers in one place,"Centralized reporting for Fiber operations, specifically focused on managing vendors, work orders, devices, and upcoming construction schedules.",Fiber leadership. Fiber to Distribution (FTD) and Long-haul Fiber (LH) teams.,"Set of dashboards within Power BI built on multiple SharePoint, databases (JETS, TAM, PDDA GIDB, etc.), and Power BI sources (SOLAR). Views focused on monthly and quarterly summaries, with dashboards allowing views to manage scheduling, devices, and work order information.",ETL & Data Visualization; Data Engineering; Analytics & Modeling,,"Holly Joiner, Tommy House",APC,Fiber,Holly Joiner,APC,,,85,3,,,,,,
Fiber Reporting Suite Phase II,GTR-0043,PD Grid Transformation Analytics,Grid Transformation,Fiber Reporting Suite Phase II,Fiber,In Development,Application of APC Fiber reporting suite to GPC.,,,,,,,APC,,"Holly Joiner, Hannah Tillman",APC,,2025-07-31,,,TBD,https://app.powerbi.com/groups/81fec0eb-8d08-4692-a143-37e8dc217032/reports/a2a58ed9-d55f-453f-9b26-d24941235236/ReportSectionf1880115b57853e66d01?experience=power-bi,,,,
Fiber Reporting Suite Phase II,GTR-0043-1,PD Grid Transformation Analytics,Grid Transformation,Fiber Reporting Suite Phase II,Fiber,In Development,Application of APC Fiber reporting suite to GPC.,,,,,,,APC,,"Holly Joiner, Hannah Tillman",APC,,2025-07-31,,,TBD,https://app.powerbi.com/groups/81fec0eb-8d08-4692-a143-37e8dc217032/reports/a2a58ed9-d55f-453f-9b26-d24941235236/ReportSectionf1880115b57853e66d01?experience=power-bi,,,,
iPad Tracker,GTR-XX15,PD Grid Transformation Analytics,Grid Transformation,iPad Tracker,Asset Management,Done - Deployed without Maintenance,"Design and build out of ipad tracking dashboard per the ,metrics Melanie requested",,,,,,,APC,PD Technology,Larry Grant,APC,,,,,,,,,,
IPAD Tracker UI/UX,GTR-XX21,PD Grid Transformation Analytics,Grid Transformation,iPad Tracker,Asset Management,Done - Deployed without Maintenance,iPAD tracker user design experince and instructions on use for broader team and end users,,,,,,,APC,PD Technology,Larry Grant,APC,,,,,,,,,,
iPad Tracker data integration,GTR-XX24,PD Grid Transformation Analytics,Grid Transformation,iPad Tracker,Asset Management,Done - Deployed with Maintenance,Ingestion of iPad data into Gidb to power dashboards,,,,,,,APC,PD Technology,Larry Grant,APC,,,,,,,,,,
Jira PM Launch,GTR-XX10,PD Grid Transformation Analytics,Grid Transformation,Jira PM Launch,Project Management Tools,Done - Deployed without Maintenance,Launch of Jira per Jesse,,,,,,,APC,PDDA,Jesse Woods,APC,,,,,,,,,,
Long Haul Fiber Automation,GTR-0045,PD Grid Transformation Analytics,Grid Transformation,Long Haul Fiber Automation,Fiber,Done - Deployed with Maintenance,Automation of Long Haul Fiber tracking and reporting that had previously been preformed manually.,,,,,,,GPC,,Tommy House,APC,,2025-04-30,,,https://app.powerbi.com/links/GYDW0so0mh?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&pbi_source=linkShare&bookmarkGuid=e4237f67-fe8b-4c96-9a42-dfa2b6f023e3,https://app.powerbi.com/links/GYDW0so0mh?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&pbi_source=linkShare&bookmarkGuid=e4237f67-fe8b-4c96-9a42-dfa2b6f023e3,https://app.powerbi.com/links/GYDW0so0mh?ctid=c0a02e2d-1186-410a-8895-0a4a252ebf17&pbi_source=linkShare&bookmarkGuid=e4237f67-fe8b-4c96-9a42-dfa2b6f023e3,,,
Network - Cloud Data Integration,GTR-XX98,PD Grid Transformation Analytics,Grid Transformation,Network - Data Availability Assessment,Undergrounding,Scoping,No description available.,,,,,,,GPC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
Network - Data Availability Assessment,GTR-XX97,PD Grid Transformation Analytics,Grid Transformation,Network - Modeling & Analyses,Undergrounding,Scoping,No description available.,,,,,,,GPC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
Network - Modeling & Analyses,GTR-XX96,PD Grid Transformation Analytics,Grid Transformation,Network - On Prem DB Dev & ETL,Undergrounding,Scoping,No description available.,,,,,,,GPC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
Network - On Prem DB Dev & ETL,GTR-XX95,PD Grid Transformation Analytics,Grid Transformation,"Network - Strat, Planning & PM",Undergrounding,Scoping,No description available.,,,,,,,GPC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
"Network - Strat, Planning & PM",GTR-XX94,PD Grid Transformation Analytics,Grid Transformation,Network - Visualization Content Dev - PowerBI,Undergrounding,Scoping,No description available.,,,,,,,GPC,Network Underground,Megan Barnidge,GPC,,,,,,,,,,
Noteworthy Data Integraiton,GTR-XXX9,PD Grid Transformation Analytics,Grid Transformation,Noteworthy Data Integration,Vegetation Management,Done - Deployed without Maintenance,Noteworthy data intergation via API to serves for PD Tech,,,,,,,APC,PD Technology,David Osborne,APC,,,,,,,,,,
Osmose Poles Analysis,GTR-0050,PD Grid Transformation Analytics,Grid Transformation,Osmose Poles Analysis,Asset Management,Paused,API to Fulcrum and dashboard of pole corrective action status,,,,,,,,,David Loflin,APC,,,,,https://app.powerbi.com/groups/81feceb-8d8-4692-a143-37e8dc21732/reports/5fceeedb-787b-4197-b16a-262c963491b/ReportSection366afeeeaaa62351e4?experience=power-bi,https://app.powerbi.com/groups/81feceb-8d8-4692-a143-37e8dc21732/reports/5fceeedb-787b-4197-b16a-262c963491b/ReportSection366afeeeaaa62351e4?experience=power-bi,,,,Duplicate?
System UI/UX,GTR-XX16,PD Grid Transformation Analytics,Grid Transformation,PBI Brand Standards,Project Management Tools,Done - Deployed without Maintenance,Brand standards and templates developed for consistency in the look and feel of each reporting suite to drive user adoption,,,,,,,APC,PDDA,Shane Powell,APC,,,,,,,,,,
PD Connectivity - Marketing,GTR-XX20,PD Grid Transformation Analytics,Grid Transformation,PD Connectivity - Marketing,Fiber,Done - Deployed with Maintenance,Dashboard and reporting suite for Fiber Marketing team,,,,,,,APC,PD-Connectivity,Grant Rogers,APC,,,,,,GET,,,,
PD Connectivity Contracts,GTR-XX27,PD Grid Transformation Analytics,Grid Transformation,PD Connectivity Contracts,Fiber,In Development,View from Oracle of existing and pending lease contracts,,,,,,,APC,Fiber,Grant Rogers,APC,,,,,,,,,,
PD Connectivity Mktg Metric Development,GTR-0048,PD Grid Transformation Analytics,Grid Transformation,PD Connectivity Mktg Metric Development,Fiber,In Development,"Establishment of drivers for Fiber. Forecasting based on know historicals and drivers, dashboarding of effort.",,,,,,,,,Grant Rogers,,2025-07-01,,,,,,,,,
