Title,KruseID,Category,Workstream,ParentProjectName,Topic,Status,Description,ValueStatement,Audience,ProductOverview,ServiceTypes,ProjectManager,SOCOSponsor,DeployedTo,StakeholderDept,StakeholderRep,OriginatingOpCo,StartDate,EndDate,CompletionPct,TeamSize,MainLink,ParentLink,ChildLink,ParentProjectId,ChildProjectIds,RemovalReason
RAMP User adoption,REL-XXX1,Reliability,Reliability,RAMP,,In Development,Materials to drive user adoption that explain use of suite and functionality,,,,,,,APC,PDDA-D,David Boyd,APC,,,,,TBD,,,,,
Managed Charging Dashboard,R&D-0001,Southern Company Research and Development,Corporate & Engineering Services,Managed Charging Dashboard,EV,Request Received,Specific dashboard to monitor customers who have signed up for managed charging through Southern Company,,,,,,,SCS,SCS R&D,Shardul Modi,SCS,,,,,,,,,,
Administrative Documentation,TRN-0015,Transmission Analytics,Transmission,Administrative Documentation,Transmission,In Development,Dale work to support Emily,,,,,,,APC,PDDA-T,Emily Boles,APC,,,,,,,,,,
APC Data Analytics Project Tracker (ADAPT),TRN-XXX9,Transmission Analytics,Transmission,APC Data Analytics Project Tracker (ADAPT),Project Management Tools,Paused,GET FROM DAN,,,,,,,APC,PDDA-T,"Emily Boles, Josh McCurry",APC,,,,,,,,,,
Automated Transmission Outage Reporting,TRN-0049,Transmission Analytics,Transmission,Automated Transmission Outage Reporting,Transmission,Scoping,Process that automates the syncing of EMS Cafe and STOMP outage times.,,,,,,,,TCC,Chad Williamson,,,,,,TBD,,,,,
Badge Reader Alarm Analysis,TRN-XXX8,Transmission Analytics,Transmission,Badge Reader Alarm Analysis,Devices,Paused,GET FROM DAN,,,,,,,,,Johnny Black,APC,,,,,,,,,,
CISL- Civil Invoicing Substation List,TRN-0095,Transmission Analytics,Transmission,CISL- Civil Invoicing Substation List,Substations,In Development,No description available.,,,,,Danny,,APC,Civil Design,Tyler Flemming,APC,,,,,PBi development of outsystems app created by summer CoOp for substation invoicing to eventually incorporate estimate vs actual costs for projects,,,,,
Grating Construction Cost Analysis,TRN-0017,Transmission Analytics,Transmission,Civil Design Project Suite,Transmission Construction,Request Received,Dashboard Analytics for substation site grating costs.,,,,,Bob Favre,,APC,SCS Civil Design,Joe Godwin,,,,,,TBD,,,,,
Grating Activies Dashboard,TRN-0018,Transmission Analytics,Transmission,Civil Design Project Suite,Transmission Construction,Request Received,Dashboard Analytics for substation site grating activities.,,,,,Bob Favre,,APC,SCS Civil Design,Joe Godwin,,,,,,TBD,,,,,
Region Contacts,TRN-0019,Transmission Analytics,Transmission,Civil Design Project Suite,,Request Received,Dashboard for geographic region contacts.,,,,,Bob Favre,,APC,SCS Civil Design,Joe Godwin,,,,,,TBD,,,,,
